alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
0.2,0.5,0.5,1e-05,5.64916,0.532488,-0.974548,3121,24.9536
2.20676,1.49574,1.40996,0.000100903,2,0.5,0.5,1871,27.8376
0.2,0.5,0.5,1e-05,0.28126,3.23612,0.910215,3024,18.5068
2.25455,0.41081,3.75393,4.89917e-05,2,0.5,0.5,1476,35.4463
0.2,0.5,0.5,1e-05,1.43724,0.3025,-0.88873,2951,29.6247
-0.180822,-1.75997,3.75423,0.000276139,2,0.5,0.5,3999,14.6947
0.2,0.5,0.5,1e-05,2.77651,2.44655,-0.638722,3247,17.268
-1.97641,-0.733268,2.07938,0.000250046,2,0.5,0.5,2703,11.7125
0.2,0.5,0.5,1e-05,3.72338,1.41179,0.352886,2531,21.3489
0.622852,-1.50856,4.97986,0.000321641,2,0.5,0.5,4228,10.75
0.2,0.5,0.5,1e-05,1.81665,5.9989,0.884274,3588,14.864
0.907407,0.0414747,3.58516,7.7099e-05,2,0.5,0.5,1656,24.9073
0.2,0.5,0.5,1e-05,3.36119,1.90069,-0.516953,2798,25.0222
2.68725,1.17164,2.14759,7.0385e-05,2,0.5,0.5,1826,32.544
0.2,0.5,0.5,1e-05,4.78799,3.72558,0.530564,3019,21.0021
-2.38969,-0.257363,3.88363,0.000720911,2,0.5,0.5,2629,14.8943
0.2,0.5,0.5,1e-05,2.9946,5.23533,0.0129704,3512,14.1466
-1.76034,-1.76272,3.45119,0.000941558,2,0.5,0.5,3128,19.4551
0.2,0.5,0.5,1e-05,0.732811,0.86044,0.580493,2280,19.3391
-2.8916,-0.427656,3.08451,0.000184096,2,0.5,0.5,2487,12.3843
-1.76034,-1.76272,3.45119,0.000941558,4.27586,2.3081,-0.923679,4387,6.30693
-2.38969,-0.257363,3.88363,0.000720911,4.27586,2.3081,-0.923679,3835,9.56373
-0.180822,-1.75997,3.75423,0.000276139,4.27586,2.3081,-0.923679,4646,4.0601
-1.97641,-0.733268,2.07938,0.000250046,4.27586,2.3081,-0.923679,4139,10.0045
0.622852,-1.50856,4.97986,0.000321641,4.27586,2.3081,-0.923679,4211,7.45167
0.45981,-1.9739,3.05065,0.000322304,4.78799,3.72558,0.530564,4639,4.80194
0.45981,-1.9739,3.05065,0.000322304,0.732811,0.86044,0.580493,4408,7.38241
0.45981,-1.9739,3.05065,0.000322304,1.43724,0.3025,-0.88873,4658,6.93609
0.45981,-1.9739,3.05065,0.000322304,3.36119,1.90069,-0.516953,4492,7.40355
0.45981,-1.9739,3.05065,0.000322304,3.72338,1.41179,0.352886,4401,8.17365
-1.76034,-1.76272,3.45119,0.000941558,0.0891944,0.91801,0.0404736,3582,22.0195
0.45981,-1.9739,3.05065,0.000322304,0.0891944,0.91801,0.0404736,4443,8.45369
-0.180822,-1.75997,3.75423,0.000276139,0.0891944,0.91801,0.0404736,4195,7.99389
-1.97641,-0.733268,2.07938,0.000250046,0.0891944,0.91801,0.0404736,3295,20.8281
0.622852,-1.50856,4.97986,0.000321641,0.0891944,0.91801,0.0404736,4312,11.2472
-1.6259,-3,5,4.89917e-05,4.78799,3.72558,0.530564,4144,10.9772
-1.6259,-3,5,4.89917e-05,0.732811,0.86044,0.580493,3288,12.5549
-1.6259,-3,5,4.89917e-05,1.43724,0.3025,-0.88873,4632,5.78792
-1.6259,-3,5,4.89917e-05,3.36119,1.90069,-0.516953,4172,14.9604
-1.6259,-3,5,4.89917e-05,3.72338,1.41179,0.352886,3264,14.0268
-1.76034,-1.76272,3.45119,0.000941558,2.69459,3.33963,0.689889,3843,11.5824
0.45981,-1.9739,3.05065,0.000322304,2.69459,3.33963,0.689889,4611,5.52516
